id,nome,descricao,img
1,Dragon Ball Z,"Nos meados dos anos 2000 no Brasil um anime deu uma reviravolta do mesmo jeito que fizeram “Os Cavaleiros do Zodiaco” em 1994, que era um shounen de batalha. Minha experiência foi quando parei no canal que o exibia e flagrei Gohan sendo perseguido por um animal selvagem e não sabia no que via, então, acompanhei e aí, “Dragon Ball Z” entrou na minha vida. Com um roteiro mais focado na ação e mantendo um ritmo frenético em sua execução, uma dublagem ótima e grandes batalhas, ele se tornou uma lenda viva no mundo da animação japonesa e até mundial.",https://br.web.img3.acsta.net/c_310_420/pictures/16/03/01/16/59/300795.jpg
2,Naruto Shippuden,"Naruto Uzumaki é um garoto que estuda para ser ninja e sonha em ser o Hokage, o ninja mais forte da vila onde vive (Aldeia da Folha) e também o líder. Porém, além de ser atrapalhado em nijutsu e ser um arruaceiro que pinta os monumentos da vila, Naruto não é bem visto pelas pessoas a sua volta, pois dentro dele reside um demônio, uma besta chamada Raposa de Nove Caldas que no passado atacou a vila e matou milhares. Para detê-la o quarto Hokage selou a criatura em Naruto que havia acabado de nascer. Isso levou com que ninguém se aproximasse dele e sua vida se tornou uma grande solidão, porém sempre sustentando seu sorriso e sua confiança.",https://br.web.img3.acsta.net/c_310_420/pictures/17/02/01/13/28/337995.jpg
3,Trigun,"<p><b>Trigun</b><span style=""font-weight: normal""> (<span class=""t_nihongo_kanji"" lang=""ja""><b>トライガン</b></span><span class=""t_nihongo_comma"" style=""display:none"">,</span> <span class=""t_nihongo_romaji""><i>Toraigan</i></span><span class=""t_nihongo_help""><sup><a href=""/wiki/Ajuda:Japon%C3%AAs"" title=""Ajuda:Japonês""><span class=""t_nihongo_icon"" style=""color:DarkBlue;font:bold 80% sans-serif;text-decoration:none;padding:0 .1em;"">?</span></a></sup></span>)</span> é uma série de <a href=""/wiki/Mang%C3%A1"" title=""Mangá"">mangá</a> de <a href=""/w/index.php?title=Yasuhiro_Nightow&amp;action=edit&amp;redlink=1"" class=""new"" title=""Yasuhiro Nightow (página não existe)"">Yasuhiro Nightow</a>, lançada em 1995 e adaptada numa série de <a href=""/wiki/Anime"" title=""Anime"">anime</a> em 1998. Conta a história do tufão humanóide <i>Vash o estouro da boiada</i> (Brasil) , バッシュ ザ スタンピード <i>bashu za sutanpido</i> (Japão), ou <i>Vash the Stampede</i> (Estados Unidos). Vash é o pistoleiro mais temido de uma terra desértica, com uma recompensa de 60 bilhões de dólares duplos por sua cabeça, e tido como responsável pela destruição completa da Cidade de July. Entretanto Vash é um pacifista ferrenho que evita agressão ao máximo e não admite matar em hipótese alguma.</p><p>Independente de gostar de violência ou não, ela o persegue: os lugares visitados por Vash são sempre arrasados por suas intervenções bem-intencionadas ou por pessoas buscando a recompensa. Uma dupla de agentes da companhia de seguros Bernadelli — Meryl Strife e Milly Thompson — o segue tentando minimizar os estragos provocados por sua passagem.</p><p>A série é pontilhada por eventos como duelos ou tiroteios em ambientes com uma estética de <a href=""/wiki/Western_(g%C3%AAnero)"" class=""mw-redirect"" title=""Western (gênero)"">western</a> futurista.</p><p>No <a href=""/wiki/Brasil"" title=""Brasil"">Brasil</a>, foi exibida entre <a href=""/wiki/Junho"" title=""Junho"">junho</a> a <a href=""/wiki/Setembro"" title=""Setembro"">setembro</a> de <a href=""/wiki/2006"" title=""2006"">2006</a> no <a href=""/wiki/Cartoon_Network"" title=""Cartoon Network"">Cartoon Network</a> e entre <a href=""/wiki/Maio"" title=""Maio"">maio</a> de <a href=""/wiki/2007"" title=""2007"">2007</a> a <a href=""/wiki/Fevereiro"" title=""Fevereiro"">fevereiro</a> de <a href=""/wiki/2008"" title=""2008"">2008</a>, era exibido todas as quintas-feiras na TV aberta pelo canal <a href=""/wiki/PlayTV"" title=""PlayTV"">PlayTV</a> no bloco <a href=""/w/index.php?title=Otacraze&amp;action=edit&amp;redlink=1"" class=""new"" title=""Otacraze (página não existe)"">Otacraze</a> junto com <a href=""/wiki/Ranma_1/2"" class=""mw-redirect"" title=""Ranma 1/2"">Ranma 1/2</a>, <a href=""/wiki/Love_Hina"" title=""Love Hina"">Love Hina</a> e <a href=""/wiki/Samurai_Champloo"" title=""Samurai Champloo"">Samurai Champloo</a>.</p><p>Durante a <a href=""/wiki/Anime_Expo"" title=""Anime Expo"">Anime Expo</a> de <a href=""/wiki/2022"" title=""2022"">2022</a>, foi anunciada que a obra receberá uma nova adaptação com o nome de <i><b>Trigun: Stampede</b></i>, feita em colaboração entre os estúdios <a href=""/wiki/Toho"" title=""Toho"">Toho</a> e Orange, com lançamento no <a href=""/wiki/2023"" title=""2023"">ano seguinte</a>.<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1""><span>[</span>1<span>]</span></a></sup></p>",https://img1.ak.crunchyroll.com/i/spire2/067ba823fe77aa4f5fdc8249a6458b311532994735_main.jpg
4,Yu-Gi-Oh!,"O enredo dele oferece aos fãs, acima de tudo, um reencontro com esses queridos personagens de longa data. Passando-se pouco tempo após a despedida de Atem, vulgo “Yami Yugi”, no final da história, acompanhamos os momentos finais de Yugi, Joey e os demais no ensino médio e seus preparativos para o futuro incógnito que vem pela frente. Simultaneamente também acompanhamos o rival de Yugi, Seto Kaiba, em sua busca desesperada por uma forma de trazer Atem de volta à vida para um duelo final, a única coisa que dá sentido à sua vida. Todas as cenas envolvendo esses velhos conhecidos – especialmente as do egocentriquíssimo Kaiba – são um enorme deleite, e não somente graças à evidente nostalgia de revisitá-los. Há um sentimento de mudança e de crescimento que permeia essas cenas. Yugi e seus amigos não estão simplesmente aqui para fazer uma rápida aparição que somente reafirma seus personagens, como foi feito no filme anterior, Vínculos Além do Tempo (2010); aqui, aprendemos mais sobre alguns deles e somos testemunhas de seu crescimento – e do descontrole de sua obsessão, no caso do Kaiba. A temática de Lado Negro como um todo pode ser vista como a superação do passado em preparação para o futuro, e cada um dos membros da turma do Yugi enfrenta essa batalha em seu decorrer, sejam alimentados pela esperança, seja pelo desespero. É bem mais do que o filme precisava ser, mas, tendo o autor do mangá, Kazuki Takahashi, envolvido na produção, é compreensível: esta não é só uma reunião, mas também o capítulo seguinte desta história, o que faz do filme muito mais essencial aos fãs dos que os dois que o precederam.",https://img1.ak.crunchyroll.com/i/spire1/837409ac43551c978dd2978d3a55f92a1415999996_main.jpg
